format	seq	verb	tense	front	back	note	options	so	gram	source	confidence
frase	206			Ganó muchos partidos. (ya terminado, lejano)	Va guanyar molts partits.				<b>Passat perifràstic</b>: l'acció ja no es percep com a present.	A Punt p.203	verbatim
taula	301	anar	passat perifràstic	ANAR — fui, fuiste...					Per a un període tancat: <i>ahir, la setmana passada, l'any passat</i>.	A Punt p.203	derived
taula	302	anar	perfet	ANAR — he ido, has ido...					Per a un període obert: <i>avui, aquest matí, aquesta setmana</i>. Participi regular: anar → <b>anat</b>.	A Punt p.203	derived
taula	303	anar	futur	ANAR — iré, irás...					Irregular: l'arrel és <b>anir-</b>. «Voy a ir» es diu així, amb futur.	A Punt p.205	verbatim
multi	304	anar		**Ahir** ___ al cor a peu. *(anar)*|**Avui** encara no ___ mai a València. *(anar)*|**La setmana passada** ___ al concert. *(anar, nosaltres)*|**Aquest matí** ___ al metge. *(anar)*|**Demà** ___ a l'assaig general. *(anar)*	vaig anar|he anat|vam anar|he anat|aniré	Mira sempre el marcador temporal primer.			<b>ahir</b> i <b>la setmana passada</b> tanquen → <i>vaig / vam</i>. <b>avui</b> i <b>aquest matí</b> són oberts → <i>he</i>. <b>demà</b> → futur.	CPNL · Contrast de passats	verbatim
multi	305	anar		Ayer fui al coro.|¿Has ido alguna vez a Girona?|Mañana iré en tren.|Cuando era pequeño iba cada verano.	Ahir vaig anar al cor.|Has anat mai a Girona?|Demà hi aniré en tren.|Quan era petit hi anava cada estiu.	Digues-les totes quatre en veu alta abans de girar.			<i>alguna vegada</i> i <i>mai</i> van amb perfet quan penses en tota la teva vida (període obert).	CPNL · Català per ser feliç	verbatim
taula	311	venir	passat perifràstic	VENIR — vine, viniste...						A Punt p.203	derived
taula	312	venir	perfet	VENIR — he venido, has venido...					Participi irregular: venir → <b>vingut</b>.	A Punt p.204	derived
taula	313	venir	futur	VENIR — vendré, vendrás...					Irregular: l'arrel és <b>vindr-</b>.	A Punt p.205	verbatim
multi	314	venir		**Ahir** la Marta ___ a l'assaig. *(venir)*|**Avui** ___ tothom. *(venir)*|**Aquesta setmana** ___ dos cops. *(venir, jo)*|**Abans-d'ahir** ___ molt tard. *(venir, vosaltres)*|**Demà** ___ més d'hora. *(venir, jo)*	va venir|ha vingut|he vingut|vau venir|vindré				<b>abans-d'ahir</b> tanca el període igual que <b>ahir</b>. <b>aquesta setmana</b> encara és oberta.	CPNL · Contrast de passats	verbatim
multi	315	venir		He venido en bici.|Vino tarde al ensayo.|¿Vendrás el sábado?|Antes venía cada martes.	He vingut en bici.|Va venir tard a l'assaig.|Vindràs dissabte?|Abans venia cada dimarts.					A Punt p.203-205	derived
taula	321	estar	perfet	ESTAR — he estado, has estado...					Participi regular: estar → <b>estat</b>.	A Punt p.203	derived
taula	322	estar	passat perifràstic	ESTAR — estuve, estuviste...						A Punt p.203	derived
taula	323	estar	futur	ESTAR — estaré, estarás...					Regular. Però per a un lloc es fa servir <b>ser</b>: «hi seré a les vuit».	A Punt p.205	derived
multi	324	estar		**Mai** ___ a l'escenari abans. *(estar, jo)*|**L'any passat** ___ dos mesos a Girona. *(estar, jo)*|**Aquesta setmana** ___ malalt. *(estar, jo)*|**Fa dos anys** ___ a Berlín. *(estar, nosaltres)*|**Dissabte** ___ fora tot el dia. *(estar, jo)*	he estat|vaig estar|he estat|vam estar|estaré				<b>mai</b> amb perfet quan parles de tota la teva vida. <b>fa dos anys</b> i <b>l'any passat</b> tanquen el període.	CPNL · Català per ser feliç	verbatim
multi	325	estar		He estado dos veces.|Estuve enfermo la semana pasada.|Mañana estaré fuera.|¿Dónde has estado?	He estat dos cops.|Vaig estar malalt la setmana passada.|Demà seré fora.|On has estat?				<b>Compte amb la 3:</b> «estaré allí» és <b>hi seré</b>. Amb el pronom <b>hi</b> es fa servir <i>ser</i>, no <i>estar</i>.	A Punt p.203-205	derived
taula	331	ser	passat perifràstic	SER — fui, fuiste... (ser)						A Punt p.203	derived
taula	332	ser	imperfet	SER — era, eras...					L'imperfet descriu com eren les coses, o una acció repetida al passat.	A Punt p.204	verbatim
multi	333	ser		**Ahir** l'assaig ___ molt llarg. *(ser)*|**Abans** ___ molt tímid. *(ser, jo)*|**Avui** ___ un assaig molt bo. *(ser)*|**Quan era petit** ___ més alt que tu. *(ser, jo)*|**L'any que ve** ___ a Girona. *(ser, nosaltres)*	va ser|era|ha estat|era|serem				<b>abans</b> i <b>quan era petit</b> demanen imperfet: descriuen com eren les coses, no un fet acabat.	A Punt p.204	verbatim
multi	334	ser		Fue un concierto precioso.|Antes era más tímido.|Ha sido un buen ensayo.|Seré el primero en llegar.	Va ser un concert preciós.|Abans era més tímid.|Ha estat un bon assaig.|Seré el primer a arribar.					A Punt p.203-204	derived
tria	401			**Fa dos anys** ___ a viure a Barcelona.	vaig anar		*vaig anar|he anat|aniré|anava		<b>fa dos anys</b> és un període tancat i llunyà → perifràstic.	CPNL	verbatim
tria	402			**Fa cinc minuts** que ___.	hem arribat		vam arribar|arribarem|*hem arribat|arribàvem		Excepció útil: <b>fa cinc minuts</b> està tancat, però és tan recent que va amb <b>perfet</b>. La proximitat mana.	Català per ser feliç	verbatim
tria	403			**Quan era petit** ___ cada estiu al poble.	anava		vaig anar|he anat|aniré|*anava		Acció <b>repetida</b> al passat → imperfet, no perifràstic.	A Punt p.204	verbatim
multi	404			¿Has ido alguna vez?|Fui el año pasado.|Iré la semana que viene.|Cuando era pequeño iba cada verano.|Hace cinco minutos que he llegado.	Has anat mai?|Vaig anar l'any passat.|Hi aniré la setmana que ve.|Quan era petit hi anava cada estiu.|Fa cinc minuts que he arribat.	Les cinc formes seguides. Aquesta és la targeta que ho ajunta tot.			Obert · tancat · futur · habitual · recent. Si en falles una, mira quin marcador temporal duia.	CPNL · Català per ser feliç	verbatim
multi	405			¿Vendrás mañana?|Vino ayer.|Ha venido dos veces.|Antes venía cada martes.|Vendremos en tren.	Vindràs demà?|Va venir ahir.|Ha vingut dos cops.|Abans venia cada dimarts.|Vindrem en tren.					A Punt p.203-205	derived
motlle	501			**Ahir** ___ .	Ahir vaig anar al cor.|Ahir va venir la Marta.|Ahir vam fer un assaig llarg.	Fabrica les teves.			Amb <b>ahir</b> sempre perifràstic: <i>vaig / vas / va / vam / vau / van</i> + infinitiu.	A Punt p.203	verbatim
motlle	502			**Avui** ___ .	Avui he anat al metge.|Avui ha vingut tothom.|Avui hem fet una hora d'assaig.				Amb <b>avui</b> sempre perfet: <i>he / has / ha / hem / heu / han</i> + participi.	A Punt p.203	verbatim
motlle	503			**Encara no** ___ mai.	Encara no hi he anat mai.|Encara no ho he fet mai.|Encara no l'he vist mai.				<b>encara no</b> i <b>mai</b> obren el període: perfet.	Català per ser feliç	verbatim
motlle	504			**La setmana que ve** ___ .	La setmana que ve hi aniré.|La setmana que ve vindré d'hora.|La setmana que ve farem el concert.					A Punt p.205	verbatim
motlle	505			**Quan era petit**, ___ .	Quan era petit, anava al poble cada estiu.|Quan era petit, no cantava mai.|Quan era petit, vivia a Madrid.				Imperfet per descriure com eren les coses.	A Punt p.204	verbatim
