ca_source	ca_suggested	es	issue
l'avió (m)	l'avió	el avión	removed gender marker
l'edifici (m)	l'edifici	el edificio	removed gender marker
l'empleat l'empleada	l'empleat / l'empleada	el empleado / la empleada	normalised m/f pair
l'esmorzar (m)	l'esmorzar	el desayuno	removed gender marker
l'estanc (m)	l'estanc	el estanco	removed gender marker
l'oli d'oliva (m)	l'oli d'oliva	el aceite de oliva	removed gender marker
la cercavilla	la cercavila	el pasacalles	misspelling, cercavila is with v
la comissaria de policia	la comisaria de policia	la comisaría de policía	misspelling, comisaria is with one s
la tauleta	la tauleta de nit	la mesita de noche	missing 'de nit' for this sense
lampista	el lampista / la lampista	el fontanero / la fontanera	changed, no reason given
les cargols	els cargols	los caracoles	wrong article, cargol is masculine
liest liesta	llest / llesta	listo / lista	misspelling
llarg llarga	llarg / llarga	largo / larga	changed, no reason given
llegir un llebre	llegir un llibre	leer un libro	misspelling, llibre not llebre
llicenciat llicenciada	el llicenciat / la llicenciada	el licenciado / la licenciada	changed, no reason given
maco maca	maco / maca	guapo / guapa / majo / maja	changed, no reason given
madur madura	madur / madura	maduro / madura	changed, no reason given
mateix mateixa	mateix / mateixa	mismo / misma	changed, no reason given
mestre mestra	el mestre / la mestra	el maestro / la maestra	changed, no reason given
metge metgessa	el metge / la metgessa	el médico / la médica	changed, no reason given
mig mitja	mig / mitja	medio / media	changed, no reason given
nebot neboda	el nebot / la neboda	el sobrino / la sobrina	added articles
negre negra	negre / negra	negro / negra	changed, no reason given
no...ni	no... ni	ni... ni	changed, no reason given
noranta / norantà	noranta / norantè	noventa / nonagésimo	misspelling of ordinal
normalament em llevo a les set.	Normalment em llevo a les set.	Normalmente me levanto a las siete.	misspelling and punctuation
nou / novè novena	nou / novè / novena	nueve / noveno novena	standard m/f formatting
no… gaire	no... gaire	no... mucho	changed, no reason given
no… gens	no... gens	no... nada	changed, no reason given
no… gens ni mica	no... gens ni mica	nada de nada / ni un ápice	changed, no reason given
néixar	néixer	nacer	misspelling
obert oberta	obert / oberta	abierto / abierta	changed, no reason given
ocupat ocupada	ocupat / ocupada	ocupado / ocupada	changed, no reason given
oh I tant!	Oh, i tant!	¡y tanto! / ¡claro que sí!	punctuation and capitalization
on vius? on viu?	On vius? / On viu?	¿dónde vives? / ¿dónde vive?	punctuation and formatting
on és	On és?	¿dónde está?	punctuation and capitalization
paleta	el paleta	el albañil	changed, no reason given
pasar estona	passar l'estona	pasar el rato	misspelling and missing article
passar a + inf	passar a + inf.	pasar a + inf.	changed, no reason given
pensar + inf	pensar + inf.	pensar + inf.	changed, no reason given
perdona perdoni	perdona / perdoni	perdona / perdone	normalised format
perruquer perruquera	el perruquer / la perruquera	el peluquero / la peluquera	normalised format
petit petita	petit / petita	pequeño / pequeña	normalised format
pintor pintora	el pintor / la pintora	el pintor / la pintora	normalised format
ple plena	ple / plena	lleno / llena	normalised format
plego tard.	plego tard	salgo tarde	changed, no reason given
pobre pobra	pobre / pobra	pobre	changed, no reason given
preciós preciosa	preciós / preciosa	precioso / preciosa	changed, no reason given
preocupat preocupada	preocupat / preocupada	preocupado / preocupada	changed, no reason given
prim prima	prim / prima	delgado / delgada	changed, no reason given
professor professora	professor / professora	profesor / profesora	changed, no reason given
pèl-roig roja	pèl-roig / pèl-roja	pelirrojo / pelirroja	feminine is pèl-roja
quant? quanta?	quant? / quanta?	¿cuánto? / ¿cuánta?	changed, no reason given
quants? quantes?	quants? / quantes?	¿cuántos? / ¿cuántas?	changed, no reason given
quart val?	quant val?	¿cuánto vale?	misspelling, should be quant
quatre / quart quarta	quatre / quart / quarta	cuatro / cuarto / cuarta	changed, no reason given
queder	quedar	quedar / sobrar	misspelling, should be quedar
qui és ara? a qui toca?	qui és ara? / a qui toca?	¿quién es el siguiente? / ¿a quién le toca?	changed, no reason given
quin? quina? quins? quines?	quin / quina / quins / quines	¿cuál? / ¿qué?	standardised format
quins llibresa tens?	quins llibres tens?	¿qué libros tienes?	misspelling, llibresa -> llibres
receptar, presciure	receptar / prescriure	recetar / prescribir	standardised format
roig roija	roig / roja	el rojo / la roja	misspelling, roija -> roja
ros rossa	ros / rossa	el rubio / la rubia	changed, no reason given
ràpid ràpida	ràpid / ràpida	el rápido / la rápida	changed, no reason given
salat salada	salat / salada	el salado / la salada	changed, no reason given
salut!xin-xin!	salut! / xin-xin!	¡salud! / ¡chin-chín!	standardised format
sang	la sang	la sangre	added article
secretari secretària	el secretari / la secretària	el secretario / la secretaria	added articles
segur segura	segur / segura	seguro / segura	normalize m/f pair
senyor, senyora	el senyor / la senyora	el señor / la señora	add articles, normalize m/f pair
senzill senzilla	senzill / senzilla	sencillo / sencilla	normalize m/f pair
set / setè setena	set / setè / setena	siete / séptimo / séptima	normalize m/f pair
setanta / setantà	setanta / setantè	setenta / septuagésimo	misspelling, ordinal is setantè
simpàtic simpàtica	simpàtic / simpàtica	simpático / simpática	normalize m/f pair
sis / sisè sisena	sis / sisè / sisena	seis / sexto / sexta	normalize m/f pair
sol sola	sol / sola	solo / sola	normalize m/f pair
sorprès sorpresa	sorprès / sorpresa	sorprendido / sorprendida	normalize m/f pair
sortir am amics	sortir amb amics	salir con amigos	misspelling, am -> amb
tancat tancada	tancat / tancada	cerrado / cerrada	normalize m/f pair
tornar a + inf	tornar a + inf.	volver a + inf.	changed, no reason given
tot I que	tot i que	aunque	spelling, 'i' is lowercase
tot tota	tot / tota	todo / toda	normalise to MASC / FEM
tres / tercer tercera	tres / tercer / tercera	tres / tercero / tercera	normalise to MASC / FEM
trist trista	trist / trista	triste	normalise to MASC / FEM
tímid tímida	tímid / tímida	tímido / tímida	changed, no reason given
u un una / primer primera	u / un / una / primer / primera	uno / un / una / primero / primera	changed, no reason given
unió europea	Unió Europea	la Unión Europea	Capitalisation.
valent valenta	valent / valenta	valiente	changed, no reason given
verd verda	verd / verda	verde	changed, no reason given
vermell vermella	vermell / vermella	rojo / roja	changed, no reason given
veí veïna	el veí / la veïna	el vecino / la vecina	changed, no reason given
viu s'està	viu	vive	Incorrect phrasing, should be 'viu'.
voldria reservar una habitació sisplau.	voldria reservar una habitació, si us plau.	querría reservar una habitación, por favor.	Corrected 'sisplau.' to 'si us plau.'
voldria un bitllet per a (lloc) pel (dia)	voldria un bitllet per a (lloc) per al (dia).	querría un billete para (lugar) para el (día).	Corrected 'pel' to 'per al'.
voldria una barra de quart sisplau.	voldria una barra de quart, si us plau.	querría una barra de cuarto, por favor.	Corrected 'sisplau.' to 'si us plau.'
vuitè vuitena	el vuitè / la vuitena	el octavo / la octava	Normalised to MASC / FEM with articles.
vull un paquet de sucre sisplau.	Vull un paquet de sucre, si us plau.	quiero un paquete de azúcar, por favor.	Expanded 'sisplau', added comma, capitalised.
vull una habitació doble/individual.	Vull una habitació doble/individual.	quiero una habitación doble/individual.	Capitalised start of sentence.
