ca	es	so	en	kind	risk	ca_suggested	issue	flag	source
casar-se	casarse	ca-ZAR-se		mot				verbs_reflexius	catalan-deck
caserna de bombers	parque de bomberos	ca-ZER-na da bum-BÉS		frase				equipaments	catalan-deck
caure	caer	CÁU-ra		mot				verbs_irregulars	catalan-deck
cavallets	tiovivo	ca-ba-LLÉTS		mot				placa	catalan-deck
cementiri	cementerio	sa-man-TI-ri		mot				equipaments	catalan-deck
centre cívic	centro cívico	SEN-tra SI-bic		frase				equipaments	catalan-deck
centre de dia	centro de día	SEN-tra da DI-a		frase				equipaments	catalan-deck
centre de formació professional	centro de formación profesional	SEN-tra da fur-ma-si-Ó pru-fa-si-u-NAL		frase				equipaments	catalan-deck
centre de salut mental	centro de salud mental	SEN-tra da sa-LUT men-TAL		frase				equipaments	catalan-deck
ciutats	ciudades			mot				historia	catalan-deck
clara	clara (cerveza con limón)			mot				bar	catalan-deck
cobrar en negre	cobrar en negro	cu-BRÁ an NÉ-gra		frase				contracte	catalan-deck
la comanda	el pedido	cu-MAN-da		frase				bar	catalan-deck
comerciants	comerciantes	cu-mar-si-ANS		mot				historia	catalan-deck
comissaria de mossos d'esquadra	comisaría de Mossos d'Esquadra	cu-mi-sa-RI-a da MO-sus das-CUA-dra		frase				equipaments	catalan-deck
complir	cumplir	cum-PLÍ		mot				verbs_conj3	catalan-deck
comprendre	comprender	cum-PRÉN-dra		mot				verbs_conj2	catalan-deck
conduir	conducir	cun-du-Í		mot				verbs_conj3	catalan-deck
construir	construir			mot				verbs_conj3	catalan-deck
contenidors	contenedores	cun-ta-ni-DÓS		mot				via_publica	catalan-deck
contestar	contestar	cun-tas-TÁ		mot				verbs_conj1	catalan-deck
contracte de durada determinada	contrato de duración determinada	cun-TRAC-ta da du-RA-da da-tar-mi-NA-da		frase				contracte	catalan-deck
contracte de pràctiques	contrato de prácticas	cun-TRAC-ta da PRAC-ti-cas		frase				contracte	catalan-deck
contracte de relleu	contrato de relevo	cun-TRAC-ta da ra-LLÉU		frase				contracte	catalan-deck
contracte fix	contrato fijo	cun-TRAC-ta FISH		frase				contracte	catalan-deck
contracte fix discontinu	contrato fijo discontinuo	cun-TRAC-ta FISH dis-cun-TI-nu		frase				contracte	catalan-deck
contracte temporal	contrato temporal	cun-TRAC-ta tem-pu-RÁL		frase				contracte	catalan-deck
conèixer	conocer	cu-NÉ-sha		mot				verbs_irregulars	catalan-deck
copa de cava	copa de cava			frase				parament	catalan-deck
copa de vi	copa de vino			frase				parament	catalan-deck
cremor	ardor	cra-MÓ		mot				simptomes	catalan-deck
creure	creer	CRÉU-ra		mot				verbs_conj2	catalan-deck
croqueta	croqueta	cru-KÉ-ta		mot				bar	catalan-deck
cuidador	cuidador	cui-da-DÓ		mot				feines	catalan-deck
cuinar	cocinar	cui-NÁ		mot				verbs_conj1	catalan-deck
cullereta	cucharilla	cu-lla-RÉ-ta		mot				parament	catalan-deck
curs formatiu	curso formativo	fur-ma-TÍU		frase				formacio	catalan-deck
curs superior	curso superior			frase				formacio	catalan-deck
debilitat	debilidad	da-bi-li-TAT		mot				simptomes	catalan-deck
decidir	decidir	da-si-DÍ		mot				verbs_conj3	catalan-deck
dependenta	dependienta	da-pan-DEN-ta		mot				feines	catalan-deck
descans	descanso			mot				historia	catalan-deck
descansar	descansar	des-can-SÁ		mot				verbs_conj1	catalan-deck
desigualtats	desigualdades	da-si-gual-TATS		mot				historia	catalan-deck
desmai	desmayo	dez-MÁI		mot				simptomes	catalan-deck
destacament de bombers	destacamento de bomberos	das-ta-ca-MÉN da bum-BÉS		frase				equipaments	catalan-deck
diarrea	diarrea			mot				simptomes	catalan-deck
diplomat universitari	diplomado universitario	di-plu-MÁT u-ni-ver-zi-TA-ri		frase				formacio	catalan-deck
dir	decir	DI		mot				verbs_irregulars	catalan-deck
divertir-se	divertirse	di-var-TÍ-sa		mot				verbs_reflexius	catalan-deck
drets	derechos			mot				historia	catalan-deck
dècimes	décimas (de fiebre)	DÈ-si-mas		mot				simptomes	catalan-deck
economia	economía	a-cu-nu-MI-a		mot				historia	catalan-deck
educació	educación	a-du-ca-si-Ó		mot				historia	catalan-deck
educació obligatòria	educación obligatoria	a-du-ca-si-Ó u-bli-ga-TO-ri-a		frase				formacio	catalan-deck
electricista	electricista	a-lec-tri-SIS-ta		mot				feines	catalan-deck
entendre	entender	an-TEN-dra		mot				verbs_conj2	catalan-deck
entrepà	bocadillo	an-tra-PÁ		mot				bar	catalan-deck
erupció	erupción	a-rup-si-Ó		mot				simptomes	catalan-deck
escalinata	escalinata	as-ca-li-NA-ta		mot				via_publica	catalan-deck
escola	escuela	as-CO-la		mot				equipaments	catalan-deck
escola bressol	guardería	as-CO-la bra-SÓL		frase				equipaments	catalan-deck
escola concertada	escuela concertada	as-CO-la cun-sar-TA-da		frase				equipaments	catalan-deck
escola d'idiomes	escuela de idiomas	as-CO-la di-DI-u-mas		frase				equipaments	catalan-deck
escola privada	escuela privada			frase				equipaments	catalan-deck
escola pública	escuela pública			frase				equipaments	catalan-deck
escoltar	escuchar	as-cul-TÁ		mot				verbs_conj1	catalan-deck
escriure	escribir	as-CRIU-ra		mot				verbs_irregulars	catalan-deck
esgotament	agotamiento	az-gu-ta-MÉN		mot				simptomes	catalan-deck
esmorzar	desayunar	az-mur-ZÁ		mot				verbs_conj1	catalan-deck
esperar	esperar	as-pa-RÁ		mot				verbs_conj1	catalan-deck
estacions	estaciones	as-ta-si-ÓNS		mot				historia	catalan-deck
esternuts	estornudos	as-tar-NÚTS		mot				simptomes	catalan-deck
estovalles	mantel	as-tu-VÁ-llas		mot				parament	catalan-deck
estudiant universitari	estudiante universitario	as-tu-di-ÁNT u-ni-ver-zi-TA-ri		frase				formacio	catalan-deck
explicar	explicar	ex-pli-CÁ		mot				verbs_conj1	catalan-deck
fanal	farol			mot				via_publica	catalan-deck
farola	farola	fa-RU-la		mot				via_publica	catalan-deck
fatiga	fatiga			mot				simptomes	catalan-deck
febre	fiebre	FE-bra		mot				simptomes	catalan-deck
fer	hacer	FÉ		mot				verbs_irregulars	catalan-deck
fer exercici a l'aire lliure	hacer ejercicio al aire libre	FÉ ag-zar-SI-si al-LAI-ra LLIÚ-ra		frase				plans	catalan-deck
fer senderisme	hacer senderismo	FÉ san-da-RIZ-ma		frase				plans	catalan-deck
fer una paella al migdia	hacer una paella al mediodía	FÉ u-na pa-E-lla al mid-YI-a		frase				plans	catalan-deck
fer-se autònom	hacerse autónomo	FÉ-sa au-TÓ-num		frase				contracte	catalan-deck
font	fuente			mot				via_publica	catalan-deck
font d'aigua potable	fuente de agua potable	font DAI-gua pu-TA-bla		frase				placa	catalan-deck
formació professional	formación profesional	fur-ma-si-Ó pru-fa-siu-NAL		frase				formacio	catalan-deck
formigueig	hormigueo	fur-mi-GUECH		mot				simptomes	catalan-deck
fortunes	fortunas	fur-TU-nas		mot				historia	catalan-deck
fugir	huir	fu-ZHÍ		mot				verbs_conj3	catalan-deck
fàbriques	fábricas	FÁ-bri-kas		mot				historia	catalan-deck
gerra	jarra	ZHE-rra		mot				parament	catalan-deck
gespa	césped	ZHES-pa		mot				placa	catalan-deck
gimnàs	gimnasio	zhim-NÁS		mot				equipaments	catalan-deck
graduat universitari	graduado universitario	gra-du-AT u-ni-bar-si-TA-ri		frase				formacio	catalan-deck
gronxadors	columpios	grun-sha-DÓS		mot				placa	catalan-deck
guingueta	chiringuito			mot				placa	catalan-deck
haver	haber (auxiliar)	a-BÉ		mot				verbs_irregulars	catalan-deck
horari flexible	horario flexible	u-RA-ri flak-SI-bla		frase				contracte	catalan-deck
hores compactades	horas compactadas	O-ras cum-pak-TA-das		frase				contracte	catalan-deck
hores extres	horas extras	O-ras EKS-tras		frase				contracte	catalan-deck
hospital	hospital	us-pi-TAL		mot				equipaments	catalan-deck
increment salarial	incremento salarial			frase				contracte	catalan-deck
inflor	hinchazón	in-FLÓ		mot				simptomes	catalan-deck
insomni	insomnio			mot				simptomes	catalan-deck
instal·lacions esportives	instalaciones deportivas	ins-tal-la-si-ONS as-pur-TI-vas		frase				equipaments	catalan-deck
institut	instituto			mot				equipaments	catalan-deck
intel·lectuals	intelectuales	in-tel-lek-tu-ALS		mot				historia	catalan-deck
jardins	jardines	zhar-DINS		mot				equipaments	catalan-deck
jocs infantils	juegos infantiles	ZHOKS in-fan-TILS		frase				placa	catalan-deck
jornada completa	jornada completa	zhur-NA-da cum-PLE-ta		frase				contracte	catalan-deck
jornada partida	jornada partida	zhur-NA-da par-TI-da		frase				contracte	catalan-deck
jornada sencera	jornada entera	zhur-NA-da san-SE-ra		frase				contracte	catalan-deck
lavabos públics	aseos públicos	la-BA-bus PÚ-bliks		frase				placa	catalan-deck
liceu	liceo (teatro)			mot				equipaments	catalan-deck
llimonada	limonada	lli-mu-NA-da		mot				bar	catalan-deck
lluita	lucha			mot				historia	catalan-deck
ludoteca	ludoteca	lu-du-TE-ca		mot				equipaments	catalan-deck
mal d'esquena	dolor de espalda	mal das-KÉ-na		frase				simptomes	catalan-deck
mal d'estómac	dolor de estómago	mal das-TÓ-mak		frase				simptomes	catalan-deck
mal d'orella	dolor de oído	mal du-RE-lla		frase				simptomes	catalan-deck
mal de coll	dolor de garganta			frase				simptomes	catalan-deck
mal de panxa	dolor de barriga	mal da PAN-sha		frase				simptomes	catalan-deck
mal de queixal	dolor de muelas	mal da ka-SHAL		frase				simptomes	catalan-deck
mareig	mareo	ma-RECH		mot				simptomes	catalan-deck
el menú	el menú	al ma-NÚ		frase				bar	catalan-deck
mercat municipal	mercado municipal	mar-CAT mu-ni-si-PAL		frase				equipaments	catalan-deck
mestra	maestra			mot				feines	catalan-deck
metgessa	médica	med-ZHE-sa		mot				feines	catalan-deck
millora de sou	mejora de sueldo			frase				contracte	catalan-deck
mines	minas	MI-nas		mot				historia	catalan-deck
mirador	mirador	mi-ra-DÓ		mot				placa	catalan-deck
mocs	mocos			mot				simptomes	catalan-deck
morat	moratón / cardenal	mu-RAT		mot				simptomes	catalan-deck
morir	morir	mu-RÍ		mot				verbs_irregulars	catalan-deck
nas tapat	nariz tapada			frase				simptomes	catalan-deck
necessitar	necesitar	na-sa-si-TÁ		mot				verbs_conj1	catalan-deck
netejador	limpiador	na-ta-zha-DÓ		mot				feines	catalan-deck
netejar	limpiar	na-ta-ZHÁ		mot				verbs_conj1	catalan-deck
nàusees	náuseas	NÁU-ze-as		mot				simptomes	catalan-deck
oblidar	olvidar	u-bli-DÁ		mot				verbs_conj1	catalan-deck
oblidar-se	olvidarse	u-bli-DAR-sa		mot				verbs_reflexius	catalan-deck
obrers	obreros	u-BRÉS		mot				historia	catalan-deck
obrir	abrir	u-BRÍ		mot				verbs_conj3	catalan-deck
ofec	ahogo / falta de aire	u-FÉK		mot				simptomes	catalan-deck
oferir	ofrecer	u-fa-RÍ		mot				verbs_conj3	catalan-deck
oficina de l'ajuntament	oficina del ayuntamiento	u-fi-SI-na da la-zhun-ta-MÉN		frase				equipaments	catalan-deck
olives	aceitunas	u-LI-bas		mot				bar	catalan-deck
pa amb tomàquet	pan con tomate	pa am tu-MÀ-ket		frase				bar	catalan-deck
pagesos	campesinos	pa-ZHE-zus		mot				historia	catalan-deck
panera	panera			mot				parament	catalan-deck
paperera	papelera			mot				via_publica	catalan-deck
parada de bus	parada de bus			frase				via_publica	catalan-deck
parada de metro	boca de metro	pa-RA-da da ME-tru		frase				via_publica	catalan-deck
parc	parque			mot				equipaments	catalan-deck
parc de mascotes	parque para mascotas			frase				equipaments	catalan-deck
pas de vianants	paso de peatones			frase				via_publica	catalan-deck
passar un dia a la platja	pasar un día en la playa	pa-SÁ un DI-a a la PLAD-zha		frase				plans	catalan-deck
patates braves	patatas bravas			frase				bar	catalan-deck
pebrer	pimentero	pa-BRÉ		mot				parament	catalan-deck
pernil	jamón			mot				bar	catalan-deck
perruquera	peluquera			mot				feines	catalan-deck
picor	picor	pi-CÓ		mot				simptomes	catalan-deck
pinxo	pincho	PIN-shu		mot				bar	catalan-deck
pista de patinatge	pista de patinaje	PIS-ta da pa-ti-NAD-zha		frase				placa	catalan-deck
pista esportiva	pista deportiva			frase				equipaments	catalan-deck
pistes de bàsquet	pistas de baloncesto			frase				placa	catalan-deck
plat de postres	plato de postre	plat da POS-tras		frase				parament	catalan-deck
plat fondo	plato hondo	plat FON-du		frase				parament	catalan-deck
plat pla	plato llano			frase				parament	catalan-deck
plaça de toros	plaza de toros	PLA-sa da TO-rus		frase				equipaments	catalan-deck
plus de festius	plus de festivos			frase				contracte	catalan-deck
plus de nocturnitat	plus de nocturnidad	plus da nuc-tur-ni-TAT		frase				contracte	catalan-deck
plus de perillositat	plus de peligrosidad	plus da pa-ri-llu-zi-TAT		frase				contracte	catalan-deck
pobresa	pobreza	pu-BRE-za		mot				historia	catalan-deck
policia	policía	pu-li-SI-a		mot				feines	catalan-deck
policia local	policía local	pu-li-SI-a lu-CAL		frase				equipaments	catalan-deck
poliesportiu	polideportivo	pu-li-as-pur-TIU		mot				equipaments	catalan-deck
polítics	políticos	pu-LÍ-tics		mot				historia	catalan-deck
porteria de futbol	portería de fútbol	pur-ta-RI-a da fud-BOL		frase				placa	catalan-deck
preferir	preferir	pra-fa-RÍ		mot				verbs_conj3	catalan-deck
preguntar	preguntar	pra-gun-TÁ		mot				verbs_conj1	catalan-deck
prendre	tomar / coger			mot				verbs_irregulars	catalan-deck
la propina	la propina	pru-PI-na		frase				bar	catalan-deck
protectora d'animals	protectora de animales	pru-tec-TO-ra da-ni-MALS		frase				equipaments	catalan-deck
punxada	punzada / pinchazo	pun-SHA-da		mot				simptomes	catalan-deck
pèrgola	pérgola			mot				placa	catalan-deck
queixar-se	quejarse	ca-SHAR-sa		mot				verbs_reflexius	catalan-deck
quiosc	quiosco			mot				equipaments	catalan-deck
rampes	calambres			mot				simptomes	catalan-deck
recordar	recordar	ra-cur-DÁ		mot				verbs_conj1	catalan-deck
recordar-se	acordarse	ra-cur-DAR-sa		mot				verbs_reflexius	catalan-deck
rei	rey			mot				historia	catalan-deck
rentar-se	lavarse			mot				verbs_reflexius	catalan-deck
respondre	responder	ras-PON-dra		mot				verbs_conj2	catalan-deck
restaurant	restaurante	ras-tau-RÁN		mot				bar	catalan-deck
restrenyiment	estreñimiento	ras-tra-ñi-MÉN		mot				simptomes	catalan-deck
rocòdrom	rocódromo	ru-CÒ-drom		mot				placa	catalan-deck
ronquera	ronquera	run-KÉ-ra		mot				simptomes	catalan-deck
safata	bandeja			mot				parament	catalan-deck
salaris	salarios			mot				historia	catalan-deck
saler	salero	sa-LÉ		mot				parament	catalan-deck
sentir	sentir / oír	san-TÍ		mot				verbs_conj3	catalan-deck
servir	servir	sar-VÍ		mot				verbs_conj3	catalan-deck
setrill	aceitera	sa-TRÍLL		mot				parament	catalan-deck
societats	sociedades	su-si-a-TATS		mot				historia	catalan-deck
sopera	sopera	su-PÉ-ra		mot				parament	catalan-deck
sortida de metro	salida de metro	sur-TÍ-da da MÉ-tru		frase				via_publica	catalan-deck
sou base	sueldo base	SOU BA-za		frase				contracte	catalan-deck
suc de taronja	zumo de naranja	SUC da ta-RUN-zha		frase				bar	catalan-deck
sucrera	azucarera			mot				parament	catalan-deck
suor freda	sudor frío	su-Ó FRÉ-da		frase				simptomes	catalan-deck
tapa	tapa			mot				bar	catalan-deck
tasques	tareas			mot				historia	catalan-deck
tassa	taza			mot				parament	catalan-deck
taules de pícnic	mesas de pícnic	TAU-las da PÍC-nic		frase				placa	catalan-deck
taxista	taxista			mot				feines	catalan-deck
teatre	teatro	ta-A-tra		mot				equipaments	catalan-deck
tirolina	tirolina	ti-ru-LÍ-na		mot				placa	catalan-deck
tobogans	toboganes	tu-bu-GANS		mot				placa	catalan-deck
tornar	volver	tur-NÁ		mot				verbs_conj1	catalan-deck
torrada	tostada	tur-RA-da		mot				bar	catalan-deck
tos seca	tos seca			frase				simptomes	catalan-deck
traduir	traducir	tra-du-Í		mot				verbs_conj3	catalan-deck
treballadors	trabajadores	tra-ba-lla-DÓS		mot				historia	catalan-deck
treballar	trabajar	tra-ba-LLÁ		mot				verbs_conj1	catalan-deck
tremolors	temblores	tra-mu-LÓS		mot				simptomes	catalan-deck
trobar-se	encontrarse (de salud)	tru-BÁ-sa		mot				verbs_reflexius	catalan-deck
trucar	llamar (teléfono)	tru-CÁ		mot				verbs_conj1	catalan-deck
truita de patates	tortilla de patatas	TRUI-ta da pa-TA-tas		frase				bar	catalan-deck
urticària	urticaria			mot				simptomes	catalan-deck
vendre	vender	VEN-dra		mot				verbs_conj2	catalan-deck
vermut	vermut			mot				bar	catalan-deck
vertigen	vértigo	ver-TÍ-zhan		mot				simptomes	catalan-deck
veure	ver	VÉU-ra		mot				verbs_irregulars	catalan-deck
vi blanc	vino blanco	VI BLAN		frase				bar	catalan-deck
vorera	acera	vu-RÉ-ra		mot				via_publica	catalan-deck
vòmits	vómitos			mot				simptomes	catalan-deck
xocolata desfeta	chocolate caliente	shu-cu-LA-ta das-FÉ-ta		frase				bar	catalan-deck
àrea per a gossos	área para perros	À-ra-a pa GÓ-sus		frase				placa	catalan-deck
